Gene,Non-unique Gene name,Annotation,ST11_01,ST11_02,ST11_03,ST11_04,ST11_05,ST11_06,ST11_07,ST11_08,ST11_09,ST11_10,ST11_11,ST11_12,ST11_13,ST131_01,ST131_02,ST131_03,ST131_04,ST131_05,ST131_06,ST131_07,ST131_08,ST131_09,ST131_10,ST131_11,ST131_12,ST10_01,ST10_02,ST10_03,ST10_04,ST10_05,ST10_06,ST10_07,ST10_08,ST10_09,ST10_10,ST10_11,ST10_12,ST73_01,ST73_02,ST73_03,ST73_04,ST73_05,ST73_06,ST73_07,ST73_08,ST73_09,ST73_10,ST95_01,ST95_02,ST95_03,ST95_04,ST95_05,ST95_06,ST95_07,ST95_08,ST95_09
"hypothetical_bg23","hypothetical_bg23","hypothetical protein",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hypothetical_bg24","hypothetical_bg24","hypothetical protein",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
"hypothetical_bg25","hypothetical_bg25","hypothetical protein",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
"hypothetical_bg26","hypothetical_bg26","hypothetical protein",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"hypothetical_bg27","hypothetical_bg27","hypothetical protein",0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0
"hypothetical_bg28","hypothetical_bg28","hypothetical protein",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
"hypothetical_bg29","hypothetical_bg29","hypothetical protein",1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
"hypothetical_bg30","hypothetical_bg30","hypothetical protein",0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1
"hypothetical_bg31","hypothetical_bg31","hypothetical protein",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0
"hypothetical_bg32","hypothetical_bg32","hypothetical protein",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"hypothetical_bg33","hypothetical_bg33","hypothetical protein",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"hypothetical_bg34","hypothetical_bg34","hypothetical protein",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"hypothetical_bg35","hypothetical_bg35","hypothetical protein",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"hypothetical_bg36","hypothetical_bg36","hypothetical protein",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"hypothetical_bg37","hypothetical_bg37","hypothetical protein",0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
"hypothetical_bg38","hypothetical_bg38","hypothetical protein",1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"hypothetical_bg39","hypothetical_bg39","hypothetical protein",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"hypothetical_bg40","hypothetical_bg40","hypothetical protein",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
